method,MAE,RMSE,Coverage_95,Mean_Width,Mean_Log_Pred,Mean_ESS,N_arms,w0
KG-DAP(w0=0.0),0.12312387840018053,0.15075268748351803,0.8857142857142857,0.5639623595135552,-4.999506502644763,10.147724146820334,35,0.0
KG-DAP(w0=0.05),0.12343494299727811,0.15180510328404623,0.9142857142857143,0.6048973781721932,-5.003954795487974,8.311731989292815,35,0.05
KG-DAP(w0=0.1),0.12401441176537595,0.15301333677468612,0.9428571428571428,0.6711170886244092,-5.010346496950743,7.125687028986251,35,0.1
KG-DAP(w0=0.2),0.12566816014740936,0.1558822974920863,0.9428571428571428,0.7879536469067846,-5.02765356278941,5.5894485712843744,35,0.2
KG-DAP(w0=0.3),0.1278552004074277,0.15932671183755287,0.9714285714285714,0.8467179434640068,-5.049871115222052,4.607325272137673,35,0.3
KG-DAP(w0=0.5),0.13682800921122146,0.16779429355994147,1.0,0.9014031946659088,-5.1070204101166485,3.397381988935893,35,0.5
