variant,trial_id,observed_rate,prior_mean,abs_error,coverage_95,interval_width
Full KG-DAP,advance_dakrd,0.5878378378378378,0.5988536936884132,0.011015855850575407,1,0.7585796862840652
Full KG-DAP,advance_krd,0.3309352517985611,0.5549091131777959,0.2239738613792348,1,0.7773764505982399
Full KG-DAP,alcyone_dvmp,0.28,0.24151365322335583,0.0384863467766442,1,0.8321235850453377
Full KG-DAP,alcyone_vmp,0.0702247191011236,0.3414465091757596,0.271221790074636,0,0.7835157588124275
Full KG-DAP,benefit_isard,0.2592592592592592,0.42275823308564553,0.16349897382638634,1,0.7984299957752228
Full KG-DAP,benefit_isavrd,0.5333333333333333,0.44163275196240154,0.09170058137093179,1,0.8102274090051651
Full KG-DAP,cassiopeia_dvtd,0.6390423572744015,0.5678582876711848,0.07118406960321666,1,0.7558679282665253
Full KG-DAP,cassiopeia_vtd,0.4391143911439114,0.5115094693367717,0.07239507819286028,1,0.7709342315793037
Full KG-DAP,cepheus_dvrd,0.6091370558375635,0.4481483065220354,0.1609887493155281,1,0.809209369122982
Full KG-DAP,cepheus_vrd,0.3888888888888889,0.394130788341892,0.005241899453003129,1,0.822807602584362
Full KG-DAP,derman_dakrd,0.6190476190476191,0.5518683829655919,0.06717923608202714,1,0.8058528825640678
Full KG-DAP,determination_vrd,0.3977591036414565,0.45330359144748905,0.05554448780603255,1,0.8170914649963379
Full KG-DAP,determination_vrd_asct,0.5452054794520548,0.4784857557939822,0.06671972365807255,1,0.7824252396821976
Full KG-DAP,elokrd,0.5777777777777777,0.4412159817385687,0.13656179603920904,1,0.8147864565253258
Full KG-DAP,endurance_krd,0.1026615969581749,0.47208162985113095,0.36942003289295605,1,0.8210489153862
Full KG-DAP,endurance_vrd,0.0721062618595825,0.4314065376452569,0.35930027578567436,0,0.7969172820448875
Full KG-DAP,forte_krd12,0.5569620253164557,0.4633973030550743,0.09356472226138135,1,0.8060175105929375
Full KG-DAP,forte_krd_asct,0.5822784810126582,0.5129601630767375,0.06931831793592069,1,0.7759565263986588
Full KG-DAP,gmmg_concept_isakrd,0.6767676767676768,0.6157714948541789,0.06099618191349787,1,0.7555626183748245
Full KG-DAP,gmmghd7_isavrd,0.5,0.5612942252516141,0.0612942252516141,1,0.7642636597156525
Full KG-DAP,gmmghd7_vrd,0.3606060606060606,0.5036991832490274,0.1430931226429668,1,0.781297393143177
Full KG-DAP,griffin_dvrd,0.6442307692307693,0.5778313005898799,0.06639946864088941,1,0.7609627395868301
Full KG-DAP,griffin_vrd,0.3009708737864077,0.5095835718693104,0.20861269808290267,1,0.7838420569896698
Full KG-DAP,ifm2009_vrd_asct,0.6285714285714286,0.47089080677095474,0.15768062180047382,1,0.781296856701374
Full KG-DAP,ifm2009_vrd_noasct,0.4885714285714285,0.4348091036437922,0.053762324927636274,1,0.8166146129369736
Full KG-DAP,ifm201804_dakrd,0.62,0.6024914906733295,0.017508509326670474,1,0.7565247267484665
Full KG-DAP,iskia_isakrd,0.7880794701986755,0.564514562403403,0.2235649077952725,1,0.7600716277956963
Full KG-DAP,iskia_krd,0.6291390728476821,0.5073230156063941,0.12181605724128797,1,0.7756429985165596
Full KG-DAP,maia_drd,0.3206521739130434,0.4378176841888206,0.11716551027577721,1,0.7978613451123238
Full KG-DAP,maia_rd,0.1111111111111111,0.38809349342174676,0.27698238231063566,1,0.8104029297828674
Full KG-DAP,manhattan,0.7073170731707317,0.54225419233935,0.16506288083138165,1,0.8003565892577171
Full KG-DAP,master,0.7073170731707317,0.583981665931574,0.1233354072391577,1,0.7565156742930412
Full KG-DAP,midas_isakrd,0.629582806573957,0.5554304464040113,0.07415236016994575,1,0.7961606308817863
Full KG-DAP,perseus_dvrd,0.7492957746478873,0.5577313793094678,0.1915643953384195,1,0.7597536072134972
Full KG-DAP,perseus_vrd,0.480225988700565,0.48830474176707234,0.00807875306650735,1,0.78207927942276
No Graph (EqualWeight),advance_dakrd,0.5878378378378378,0.48429123160758575,0.10354660623025208,1,0.8126503154635429
No Graph (EqualWeight),advance_krd,0.3309352517985611,0.49025201592131123,0.15931676412275014,1,0.8126503154635429
No Graph (EqualWeight),alcyone_dvmp,0.28,0.4914556656980536,0.21145566569805357,1,0.8126503154635429
No Graph (EqualWeight),alcyone_vmp,0.0702247191011236,0.4963426844726343,0.4261179653715107,0,0.8044691607356071
No Graph (EqualWeight),benefit_isard,0.2592592592592592,0.49191224205556056,0.23265298279630137,1,0.8126503154635429
No Graph (EqualWeight),benefit_isavrd,0.5333333333333333,0.48555758340377864,0.04777574992955469,1,0.8126503154635429
No Graph (EqualWeight),cassiopeia_dvtd,0.6390423572744015,0.4830912543462912,0.15595110292811032,1,0.8126503154635429
No Graph (EqualWeight),cassiopeia_vtd,0.4391143911439114,0.4877488656714045,0.04863447452749314,1,0.8126503154635429
No Graph (EqualWeight),cepheus_dvrd,0.6091370558375635,0.4837883249172714,0.12534873092029208,1,0.8126503154635429
No Graph (EqualWeight),cepheus_vrd,0.3888888888888889,0.4889186825879779,0.10002979369908899,1,0.8126503154635429
No Graph (EqualWeight),derman_dakrd,0.6190476190476191,0.48365665050241635,0.13539096854520272,1,0.8126495108008385
No Graph (EqualWeight),determination_vrd,0.3977591036414565,0.4887122969469422,0.09095319330548568,1,0.8126503154635429
No Graph (EqualWeight),determination_vrd_asct,0.5452054794520548,0.4852773202245054,0.05992815922754935,1,0.8126503154635429
No Graph (EqualWeight),elokrd,0.5777777777777777,0.48457825705606294,0.09319952072171478,1,0.8126503005623817
