method,MAE,RMSE,Coverage_95,Mean_Width,Mean_Log_Pred,Mean_ESS,N_arms,beta_diff
KG-DAP(beta=1.0),0.16079831327184643,0.19422275844728548,1.0,0.8107672205993107,-5.042407252352999,4.364227699752956,35,1.0
KG-DAP(beta=3.0),0.15232557080217,0.1843697302866074,0.9714285714285714,0.807783808026995,-5.003567606795797,4.628124319397491,35,3.0
KG-DAP(beta=5.0),0.1453525360661135,0.17648005981835502,0.9714285714285714,0.804709626521383,-4.981360727670374,4.850282555921578,35,5.0
KG-DAP(beta=8.0),0.13674250737272353,0.16728701352490538,0.9714285714285714,0.7998031445911953,-4.9737559304207695,5.115605530773492,35,8.0
KG-DAP(beta=10.0),0.1319672101052733,0.16275612408577683,0.9428571428571428,0.7963127072368349,-4.982230116135021,5.264793558305337,35,10.0
KG-DAP(beta=15.0),0.12566816014740936,0.1558822974920863,0.9428571428571428,0.7879536469067846,-5.02765356278941,5.5894485712843744,35,15.0
KG-DAP(beta=20.0),0.12310215654017606,0.1529095089745671,0.9428571428571428,0.7815584489277431,-5.07717764406219,5.876780651597324,35,20.0
KG-DAP(beta=30.0),0.12195623629719883,0.15228444998646426,0.9428571428571428,0.7748618436711175,-5.1577419325132405,6.380495065922136,35,30.0
KG-DAP(beta=50.0),0.12907716512587827,0.15794359466221236,0.9428571428571428,0.7681706253971372,-5.262260080457239,6.992511141861436,35,50.0
