trial_id,observed_rate,n,y,prior_mean,abs_error,coverage_95,interval_lower,interval_upper,interval_width,log_pred_score,ess,method
advance_dakrd,0.5878378378378378,148,87,0.5988536936884132,0.011015855850575407,1,0.11676597222685814,0.8753456585109234,0.7585796862840652,-4.119070719207116,6.5516750176107355,KG-DAP
advance_krd,0.3309352517985611,139,46,0.5549091131777959,0.2239738613792348,1,0.09781086072325706,0.875187311321497,0.7773764505982399,-5.2717650148590565,7.199897198982139,KG-DAP
alcyone_dvmp,0.28,350,98,0.24151365322335583,0.0384863467766442,1,0.0429147370159626,0.8750383220613003,0.8321235850453377,-6.820419403391909,1.8175615831798808,KG-DAP
alcyone_vmp,0.0702247191011236,356,25,0.3414465091757596,0.271221790074636,0,0.0914921723306179,0.8750079311430454,0.7835157588124275,-6.915981583748239,6.849603484019415,KG-DAP
benefit_isard,0.2592592592592592,135,35,0.42275823308564553,0.16349897382638634,1,0.07666762545704842,0.8750976212322712,0.7984299957752228,-4.805206900742297,4.506840087605438,KG-DAP
benefit_isavrd,0.5333333333333333,135,72,0.44163275196240154,0.09170058137093179,1,0.06490393355488777,0.8751313425600529,0.8102274090051651,-4.658611742484911,4.619743274918411,KG-DAP
cassiopeia_dvtd,0.6390423572744015,543,347,0.5678582876711848,0.07118406960321666,1,0.11927926167845726,0.8751471899449825,0.7558679282665253,-5.404824830256911,6.49947771300504,KG-DAP
cassiopeia_vtd,0.4391143911439114,542,238,0.5115094693367717,0.07239507819286028,1,0.1041218601167202,0.8750560916960239,0.7709342315793037,-6.110684513619269,6.681550665482999,KG-DAP
cepheus_dvrd,0.6091370558375635,197,120,0.4481483065220354,0.1609887493155281,1,0.06606223061680794,0.87527159973979,0.809209369122982,-4.928905723885175,5.106071189963535,KG-DAP
cepheus_vrd,0.3888888888888889,198,77,0.394130788341892,0.005241899453003129,1,0.052233245223760605,0.8750408478081226,0.822807602584362,-5.13525488247275,3.262624356149197,KG-DAP
derman_dakrd,0.6190476190476191,42,26,0.5518683829655919,0.06717923608202714,1,0.07110244408249855,0.8769553266465664,0.8058528825640678,-2.9218821077150254,3.866217496256696,KG-DAP
determination_vrd,0.3977591036414565,357,142,0.45330359144748905,0.05554448780603255,1,0.05794556811451912,0.875037033110857,0.8170914649963379,-5.568100295180827,5.221721215509002,KG-DAP
determination_vrd_asct,0.5452054794520548,365,199,0.4784857557939822,0.06671972365807255,1,0.0926155336201191,0.8750407733023167,0.7824252396821976,-5.574881050066676,6.4429599055180615,KG-DAP
elokrd,0.5777777777777777,45,26,0.4412159817385687,0.13656179603920904,1,0.06105903163552284,0.8758454881608486,0.8147864565253258,-3.251016906954016,2.7534754030162496,KG-DAP
endurance_krd,0.1026615969581749,526,54,0.47208162985113095,0.36942003289295605,1,0.0543263740837574,0.8753752894699574,0.8210489153862,-5.914768641465082,3.8579945588631217,KG-DAP
