scenario,method,MAE,MAE_SE,RMSE,Mean_ESS,N_reps
Favorable,KG-DAP,0.1257630327265811,0.000162297880867331,0.12578397561300847,5.402465243651135,200
Favorable,rMAP,0.16958656502292882,9.137457246031969e-05,0.16959148828515697,5.540396503045805,200
Favorable,Uniform,0.1607953143637048,1.9626155733547188e-18,0.16079531436370478,2.0000000000000004,200
Favorable,Pooled,0.1798975562159626,9.082392310333214e-05,0.1799021415366615,9075.142857142897,200
Favorable,EqualWeight,0.16659063374624544,6.328830200363359e-05,0.16659303807125253,4.093435309844165,200
Adverse,KG-DAP,0.16911295087016803,0.00011433701984041718,0.16912068100275932,4.249486398110972,200
Adverse,rMAP,0.1679882974266333,7.523440051751056e-05,0.16799166680315802,6.721127468995435,200
Adverse,Uniform,0.16079531436370473,1.9626155733547188e-18,0.16079531436370478,2.0000000000000004,200
Adverse,Pooled,0.1632603764408276,2.956817509601101e-05,0.16326091195076806,9075.142857142922,200
Adverse,EqualWeight,0.1665571010931275,6.343594579340551e-05,0.16655951713543726,4.137716751674449,200
Mixed,KG-DAP,0.1561661159697502,0.00015164683854986688,0.15618084110993224,4.528136157058001,200
Mixed,rMAP,0.18612108067975058,5.6917989309096786e-05,0.18612282128986657,5.279268850932172,200
Mixed,Uniform,0.18192890039612472,0.0,0.1819289003961247,2.0000000000000004,200
Mixed,Pooled,0.19425088896173193,6.0776667655416266e-05,0.19425279051557887,9075.142857142862,200
Mixed,EqualWeight,0.18496878832591648,2.9087955513234753e-05,0.18496924575882576,3.5011376450831238,200
