true_rate,KG-DAP,rMAP,Uniform
0.1,0.0,0.0,0.0
0.15,0.00011428571428571428,0.0001,4.2857142857142856e-05
0.2,0.002442857142857143,0.0018142857142857142,0.0011142857142857144
0.25,0.027914285714285714,0.02032857142857143,0.015171428571428572
0.3,0.27972857142857144,0.24534285714285714,0.21235714285714286
0.35,0.8175571428571429,0.7955714285714286,0.7665142857142857
0.4,0.9678714285714286,0.9614714285714285,0.9531
0.45,0.9932,0.9918285714285714,0.9891285714285715
0.5,0.9985571428571428,0.9982142857142857,0.9974142857142857
0.55,0.9997,0.9996142857142857,0.9994857142857143
0.6,0.9999714285714286,0.9999571428571429,0.9999428571428571
0.7,1.0,1.0,1.0
