trial_id,arm_idx,n_h,p_hat,ess_raw,ess_effective,rho,sigma_phi,sigma_eps,frac_structured,w_sum,top1_neighbor,top1_ess,top2_neighbor,top2_ess,top3_neighbor,top3_ess
advance_dakrd,0,148.0,0.5878378378378378,247.1352251190067,120.62951582650564,0.45445299740498873,0.8992974958448228,0.9209406748833636,0.4881113801904084,24.947619047619046,midas_isakrd,11.927453584359569,cassiopeia_dvtd,7.8612587844725965,endurance_krd,7.233293931040554
advance_krd,1,139.0,0.3309352517985611,253.54480377025988,126.19265548509209,0.4505769443725993,0.9135189933988066,0.9177062288112071,0.4977134360814463,25.18444444444444,midas_isakrd,11.547270350048233,endurance_krd,8.956665641178331,cassiopeia_vtd,7.458212073832906
alcyone_dvmp,2,350.0,0.28,246.56814641493042,120.97179987284102,0.43545750895242896,0.8964219622540414,0.9133956105767417,0.49062217334945996,15.683888888888887,midas_isakrd,10.65288241484087,alcyone_vmp,8.560329869020608,cassiopeia_dvtd,8.219401803719817
alcyone_vmp,3,356.0,0.0702247191011236,253.49961026889173,113.24387366341934,0.46368574679202684,0.7603445078742542,0.8461811990435057,0.4467220819128655,14.74388888888889,midas_isakrd,8.852158361091373,alcyone_dvmp,8.183392716033422,endurance_vrd,7.72377729488325
benefit_isard,4,135.0,0.2592592592592592,254.33200362621866,127.08009489977023,0.442718525327919,0.9090674766146842,0.9096818041568226,0.49966222531134796,20.719999999999995,midas_isakrd,13.766587494237852,endurance_vrd,7.42806008466171,endurance_krd,7.413965093988728
benefit_isavrd,5,135.0,0.5333333333333333,259.694931104312,127.33801943424113,0.4508036430089372,0.9049924714347869,0.9226547746563851,0.4903369460957754,23.852063492063486,midas_isakrd,12.376593826288351,endurance_vrd,8.108416178693295,cassiopeia_dvtd,6.9621600016294405
cassiopeia_dvtd,6,543.0,0.6390423572744015,243.37688162475615,119.31782045602505,0.4496758651855125,0.8983218554057795,0.9159959535172181,0.49025946778294205,22.5115873015873,midas_isakrd,10.72619507078931,cassiopeia_vtd,9.329261516141145,endurance_vrd,6.748877286606547
cassiopeia_vtd,7,542.0,0.4391143911439114,250.0625827647768,122.67882352531521,0.44772735186792756,0.9061492375483025,0.9233619172854434,0.4905924835652599,22.371111111111112,midas_isakrd,9.553437434563445,cassiopeia_dvtd,9.40464884642951,endurance_vrd,8.06873839555879
cepheus_dvrd,8,197.0,0.6091370558375635,255.2091749793392,125.86199623165108,0.451119469415774,0.9056268302814892,0.9180798445154873,0.49317190983372916,24.296666666666663,midas_isakrd,10.85588571455491,endurance_vrd,8.013676264611997,cassiopeia_dvtd,7.813804719788193
cepheus_vrd,9,198.0,0.3888888888888889,262.6931696603443,128.8422695615146,0.45234560999922696,0.9051069065879271,0.9225317964663543,0.49046676671534484,24.722777777777775,midas_isakrd,9.698926654161859,endurance_vrd,9.518375362558576,endurance_krd,7.842318479105109
derman_dakrd,10,42.0,0.6190476190476191,251.79765160201214,123.62729090936963,0.4523801518800653,0.9023857353783606,0.918816633084941,0.4909787288436399,24.47539682539682,midas_isakrd,12.51577304133053,endurance_krd,8.211036943311578,cassiopeia_dvtd,7.069443485460148
determination_vrd,11,357.0,0.3977591036414565,257.2522651587979,126.3394901375541,0.4535746671113981,0.906498122297396,0.9227591564415097,0.4911112835471697,25.627222222222223,midas_isakrd,10.335585685854333,endurance_vrd,9.233181511906949,cassiopeia_vtd,7.677253544333025
determination_vrd_asct,12,365.0,0.5452054794520548,255.307127210492,125.23869235185103,0.4540162617674689,0.9050866916959733,0.922373621047629,0.4905413088941932,25.682777777777776,midas_isakrd,9.501285058165408,endurance_vrd,8.669951124448673,cassiopeia_vtd,8.202506976457508
elokrd,13,45.0,0.5777777777777777,253.81028514700384,124.73987370265041,0.44538332067304626,0.9048846820048952,0.9204579089864624,0.49146894748730374,21.083730158730155,midas_isakrd,11.906636390052466,endurance_krd,9.281253397538764,endurance_vrd,7.945628333504753
endurance_krd,14,526.0,0.1026615969581749,238.85436342305158,137.83615323509497,0.4245981853700578,0.9799254265663151,0.8389021149816493,0.5770719498683127,24.577777777777776,midas_isakrd,13.905342485071495,endurance_vrd,9.772540619992688,cassiopeia_vtd,7.678732068788486
endurance_vrd,15,527.0,0.0721062618595825,248.3772948819757,155.19556314730184,0.4073639782379372,1.0295798982962767,0.7977848648076005,0.624837963635315,25.077777777777776,midas_isakrd,12.542798454145014,endurance_krd,10.322677127086088,cassiopeia_vtd,9.402820620810841
forte_krd12,16,158.0,0.5569620253164557,254.6254150205521,124.92870056739166,0.4530938324002655,0.9047441043698072,0.9218476175726968,0.49063719957926444,25.14388888888889,midas_isakrd,12.248705272171367,endurance_krd,9.363937696557922,endurance_vrd,7.7463406974548805
forte_krd_asct,17,158.0,0.5822784810126582,252.95639350802594,124.046849964707,0.4536044091523811,0.9031468774899921,0.9206786026550225,0.49038827698486764,25.199444444444442,midas_isakrd,11.401725980345901,endurance_krd,8.797645713849537,cassiopeia_vtd,7.35398515870828
