method,MSE,MSE_SE,MAE,MAE_SE,RMSE,Coverage,Coverage_SE,CRPS,CRPS_SE,CI_Width,CI_Width_SE,N_valid
BHM,0.04060156303167125,0.007980363465245529,0.1719038380658299,0.018028273130173147,0.20149829535673808,0.8857142857142857,0.054563640607556065,0.11721367906780876,0.011817381019935949,0.7357466894147942,0.0027316872436203934,35
Full Pooling,0.04297762566848954,0.0074738309361050935,0.17985699810859052,0.017681068223531538,0.20731045720968716,0.02857142857142857,0.028571428571428574,0.17702618996450678,0.017643497565864825,0.0205388292009998,8.552559276271377e-05,35
KG-CAR,0.03823288114258979,0.00793812479703079,0.16489819853956453,0.018020792942170797,0.1955323020439073,0.8857142857142857,0.054563640607556065,0.11299717903785296,0.011361452835772789,0.7842423825924151,0.001531176464673924,35
KG-PP,0.03899588687980266,0.00704557328339675,0.17085752874390037,0.016980604637722555,0.19747376250986526,0.0,0.0,0.1672931450624414,0.01696334080221593,0.024879135236068647,0.00030151549720831497,35
No Borrowing,0.03882918896780292,0.008849594281995563,0.16086906735650117,0.019516457712321553,0.19705123437269537,1.0,0.0,0.14162565417239792,0.006162879724845718,0.9966980314079347,0.00011580494932999381,35
rMAP,0.040609249168514557,0.008028043792494619,0.17174921231281723,0.0180778197202127,0.20151736691539657,0.8857142857142857,0.054563640607556065,0.11735182772062502,0.011341670666020506,0.7913127116065031,0.0015744996527399342,35
