true_pC,delta,kg_rate,rm_rate,diff,kg_rate_std,threshold,n_C,power_k,top_m
0.1,0.0,0.015045714285714284,0.0118,0.003245714285714284,0.0046546654234307355,0.9,25,1,10
0.1,0.05,0.08304857142857143,0.086,-0.002951428571428563,0.012773977374302165,0.9,25,1,10
0.1,0.1,0.22367142857142858,0.2305,-0.006828571428571434,0.030053472073513724,0.9,25,1,10
0.1,0.15,0.4260428571428571,0.434,-0.007957142857142885,0.044308736872825716,0.9,25,1,10
0.1,0.2,0.6380428571428572,0.6464,-0.00835714285714273,0.04372516297912473,0.9,25,1,10
0.15,0.0,0.027622857142857143,0.0288,-0.0011771428571428558,0.006235753395393637,0.9,25,1,10
0.15,0.05,0.10171714285714285,0.1052,-0.0034828571428571486,0.019545251315334675,0.9,25,1,10
0.15,0.1,0.23260285714285714,0.2357,-0.003097142857142854,0.035940756695383234,0.9,25,1,10
0.15,0.15,0.4168542857142857,0.4255,-0.008645714285714312,0.049021338460815155,0.9,25,1,10
0.15,0.2,0.6145142857142856,0.6268,-0.012285714285714455,0.046507886537705434,0.9,25,1,10
0.2,0.0,0.03944571428571429,0.04,-0.0005542857142857086,0.009397304867647439,0.9,25,1,10
0.2,0.05,0.11620285714285714,0.1181,-0.0018971428571428611,0.023824447056563985,0.9,25,1,10
0.2,0.1,0.2429714285714285,0.2496,-0.006628571428571484,0.038174460957396045,0.9,25,1,10
0.2,0.15,0.4157314285714286,0.4298,-0.01406857142857143,0.04981773506022339,0.9,25,1,10
0.2,0.2,0.6058657142857142,0.617,-0.011134285714285763,0.04534311063031134,0.9,25,1,10
0.25,0.0,0.050491428571428576,0.052,-0.0015085714285714216,0.012512036979954748,0.9,25,1,10
0.25,0.05,0.12844000000000003,0.1328,-0.004359999999999975,0.025717655969614117,0.9,25,1,10
0.25,0.1,0.25357714285714283,0.2608,-0.007222857142857142,0.039598167964218355,0.9,25,1,10
0.25,0.15,0.4211828571428571,0.43,-0.008817142857142912,0.04786683006433748,0.9,25,1,10
0.25,0.2,0.60668,0.6123,-0.005619999999999958,0.04330436995434592,0.9,25,1,10
0.3,0.0,0.059437142857142855,0.0616,-0.002162857142857147,0.014834729247166419,0.9,25,1,10
0.3,0.05,0.14191428571428572,0.147,-0.005085714285714277,0.026554828916329137,0.9,25,1,10
0.3,0.1,0.2663657142857142,0.2698,-0.0034342857142857786,0.04025133142683175,0.9,25,1,10
0.3,0.15,0.4350942857142857,0.4365,-0.001405714285714288,0.04570477276019677,0.9,25,1,10
0.3,0.2,0.6136142857142858,0.616,-0.0023857142857142133,0.04158857770973138,0.9,25,1,10
0.35,0.0,0.06930857142857143,0.0715,-0.0021914285714285664,0.016878716461501304,0.9,25,1,10
0.35,0.05,0.15622571428571427,0.1579,-0.0016742857142857392,0.02607203584419952,0.9,25,1,10
0.35,0.1,0.28332857142857143,0.2833,2.8571428571433355e-05,0.03902811859180925,0.9,25,1,10
0.35,0.15,0.44988857142857136,0.4535,-0.0036114285714286543,0.045644788602102346,0.9,25,1,10
0.35,0.2,0.6296942857142859,0.6356,-0.005905714285714181,0.04148076967778231,0.9,25,1,10
0.4,0.0,0.07944857142857144,0.0793,0.00014857142857144234,0.017018517166034537,0.9,25,1,10
0.4,0.05,0.17023714285714286,0.1692,0.0010371428571428754,0.02665505672437393,0.9,25,1,10
0.4,0.1,0.29833714285714286,0.3017,-0.0033628571428571674,0.039451272553904376,0.9,25,1,10
0.4,0.15,0.46079714285714285,0.4694,-0.008602857142857134,0.04192589030123297,0.9,25,1,10
0.4,0.2,0.6457285714285714,0.6567,-0.010971428571428521,0.03881941761120933,0.9,25,1,10
0.5,0.0,0.0960057142857143,0.0984,-0.002394285714285696,0.016782983607675668,0.9,25,1,10
0.5,0.05,0.19429142857142856,0.2008,-0.006508571428571447,0.02780774169110436,0.9,25,1,10
0.5,0.1,0.3378771428571428,0.346,-0.008122857142857154,0.035487342497727545,0.9,25,1,10
0.5,0.15,0.5037885714285716,0.511,-0.007211428571428424,0.040936806850339964,0.9,25,1,10
0.5,0.2,0.6938714285714287,0.7041,-0.010228571428571254,0.03562447450382207,0.9,25,1,10
0.6,0.0,0.11818571428571428,0.1215,-0.003314285714285714,0.018221778850864036,0.9,25,1,10
0.6,0.05,0.2238285714285714,0.2295,-0.005671428571428605,0.02987231466882788,0.9,25,1,10
0.6,0.1,0.3894942857142857,0.4042,-0.014705714285714322,0.04030826886354102,0.9,25,1,10
0.6,0.15,0.5904971428571429,0.6106,-0.02010285714285709,0.03989495124315703,0.9,25,1,10
0.6,0.2,0.7726914285714286,0.7907,-0.018008571428571374,0.03119007508284438,0.9,25,1,10
0.65,0.0,0.12727428571428573,0.1319,-0.004625714285714261,0.02030990388747242,0.9,25,1,10
0.65,0.05,0.2454457142857143,0.2584,-0.012954285714285724,0.0312659042304383,0.9,25,1,10
0.65,0.1,0.42803714285714284,0.4485,-0.02046285714285717,0.04066151627918528,0.9,25,1,10
0.65,0.15,0.6413457142857143,0.6647,-0.02335428571428566,0.03978549874268366,0.9,25,1,10
0.65,0.2,0.8268314285714286,0.8419,-0.015068571428571431,0.026919326795112095,0.9,25,1,10
0.7,0.0,0.13777714285714288,0.1485,-0.010722857142857117,0.02203954997873836,0.9,25,1,10
0.7,0.05,0.27261428571428575,0.2913,-0.01868571428571425,0.034330038016350664,0.9,25,1,10
0.7,0.1,0.4776057142857144,0.5007,-0.023094285714285623,0.04091314802887518,0.9,25,1,10
